expiry_date;reference_id;control_timestamp;allee
2023-03-10;3572731142030;2021-03-27 11:03:02+00;R14 LAIT INFANTILE
2022-09-01;3288111545185;2021-03-27 11:04:26+00;R14 LAIT INFANTILE
2022-03-31;7613036217378;2021-03-27 11:08:06+00;R14 LAIT INFANTILE
2022-08-27;3572731300744;2021-03-27 11:08:57+00;R14 LAIT INFANTILE
2022-04-21;4062300366961;2021-03-27 11:12:11+00;R14 LAIT INFANTILE
2022-04-29;4062300367012;2021-03-27 11:13:20+00;R14 LAIT INFANTILE
2021-12-30;3288131580319;2021-03-27 11:14:08+00;R14 LAIT INFANTILE
2022-02-02;3288131580210;2021-03-27 11:14:44+00;R14 LAIT INFANTILE
2022-10-27;3288131580326;2021-03-27 11:15:35+00;R14 LAIT INFANTILE
2022-02-02;3288131580227;2021-03-27 11:16:10+00;R14 LAIT INFANTILE
2022-07-02;3288131580333;2021-03-27 11:16:31+00;R14 LAIT INFANTILE
2022-01-19;3288131580234;2021-03-27 11:17:07+00;R14 LAIT INFANTILE
2022-01-13;3288111545253;2021-03-27 11:22:33+00;R14 LAIT INFANTILE
2022-04-16;3288111545260;2021-03-27 11:23:18+00;R14 LAIT INFANTILE
2022-01-15;3041090796562;2021-03-27 11:23:55+00;R14 LAIT INFANTILE
2022-11-17;3760269313101;2021-05-20 09:44:43.352+00;R14 LAIT INFANTILE
1970-01-02;3041091479228;2021-06-08 09:12:04.93+00;R14 LAIT INFANTILE
2022-01-18;3533631142001;2021-06-16 09:11:41.811+00;R14 LAIT INFANTILE
2022-09-06;3288131580531;2021-06-09 09:15:43.819+00;R14 LAIT INFANTILE
2023-02-13;3041091683878;2021-06-09 09:16:00.589+00;R14 LAIT INFANTILE
2022-01-31;3175681121201;2021-10-16 11:48:24.573+00;R14 BIO VITALITE
2022-03-31;3175681135864;2021-10-16 11:50:32.819+00;R14 BIO VITALITE
2022-12-01;3160920711145;2021-05-17 13:11:06.068+00;R14 BIO COMPLEMENT ALIMENTAIRE
2021-11-18;3760269310247;2021-05-28 06:33:03.485+00;R14 LAIT INFANTILE
2021-12-22;3533631138004;2021-05-28 06:34:10.813+00;R14 LAIT INFANTILE
2022-01-30;3533631193003;2021-07-26 11:12:22.976+00;R14 LAIT INFANTILE
2021-11-30;3533631249281;2021-07-07 08:54:31.328+00;R14 LAIT INFANTILE
2022-04-25;3041091510891;2021-08-23 08:14:12.759+00;R14 LAIT INFANTILE
2021-12-15;3533631249069;2021-07-09 07:49:12.702+00;R14 LAIT INFANTILE
2021-12-02;3533631139001;2021-07-09 07:49:58.074+00;R14 LAIT INFANTILE
2021-11-06;3041091098627;2021-10-23 08:16:35.267+00;R14 LAIT INFANTILE
2022-10-20;3041091461278;2021-07-19 11:31:55.223+00;R14 LAIT INFANTILE
2021-12-09;3533631269005;2021-07-20 07:42:39.811+00;R14 LAIT INFANTILE
2022-11-12;3041091476883;2021-08-21 07:16:19.014+00;R14 LAIT INFANTILE
2022-02-05;3041091466846;2021-07-22 10:07:50.275+00;R14 LAIT INFANTILE
2021-12-31;7613034144591;2021-09-30 11:22:08.937+00;R14 LAIT INFANTILE
2021-11-26;3533630094523;2021-07-31 08:37:52.637+00;R14 LAIT INFANTILE
2022-10-16;3041091478122;2021-08-26 10:02:52.605+00;R14 LAIT INFANTILE
2022-09-16;3041091477163;2021-08-26 10:04:08.371+00;R14 LAIT INFANTILE
2021-11-27;3041091476418;2021-08-28 08:33:45.492+00;R14 LAIT INFANTILE
2021-09-24;3533631176006;2021-09-09 11:46:16.316+00;R14 LAIT INFANTILE
2022-01-28;3288114180017;2021-09-09 11:47:01.972+00;R14 LAIT INFANTILE
2022-07-17;3041091511690;2021-09-04 10:01:19.66+00;R14 LAIT INFANTILE
2022-03-31;3288111545239;2021-10-13 12:08:13.087+00;R14 LAIT INFANTILE
2021-12-12;3288114170131;2021-10-02 11:34:22.798+00;R14 LAIT INFANTILE
2021-09-30;3288111545192;2021-09-23 09:19:13.662+00;R14 LAIT INFANTILE
2021-12-09;3288111545215;2021-09-24 08:14:58.468+00;R14 LAIT INFANTILE
2022-05-04;3560071286149;2021-09-21 09:20:16.176+00;R14 LAIT INFANTILE
2023-01-16;3041091478146;2021-09-11 11:48:58.807+00;R14 LAIT INFANTILE
2021-12-21;3288110828142;2021-10-05 11:49:09.787+00;R14 LAIT INFANTILE
2023-01-24;4062300367746;2021-09-16 10:18:06.713+00;R14 LAIT INFANTILE
2022-02-28;7613038317533;2021-10-16 14:25:26.156+00;R14 LAIT INFANTILE
2022-06-30;7613034436665;2021-10-16 14:26:02.144+00;R14 LAIT INFANTILE
2022-10-25;3041091478160;2021-10-18 14:36:50.76+00;R14 LAIT INFANTILE
2022-12-16;3041091511751;2021-10-07 12:10:32.493+00;R14 LAIT INFANTILE
2021-12-22;3288110600052;2021-10-11 06:24:32.743+00;R14 LAIT INFANTILE
2021-11-17;3041090012730;2021-03-31 08:49:43+00;R14 sucré bebe
2021-12-03;3041090650109;2021-03-31 08:52:29+00;R14 sucré bebe
2021-11-21;3041090650611;2021-03-31 08:53:48+00;R14 sucré bebe
2021-11-11;3041090012709;2021-03-31 08:54:58+00;R14 sucré bebe
2022-06-30;3033710063116;2021-03-31 08:56:43+00;R14 sucré bebe
2022-06-30;5410001023666;2021-03-31 08:57:41+00;R14 sucré bebe
2022-05-31;3033710020072;2021-03-31 08:58:21+00;R14 sucré bebe
2022-05-31;3033710020065;2021-03-31 08:59:34+00;R14 sucré bebe
2022-07-31;3041091339928;2021-03-31 09:01:29+00;R14 sucré bebe
2022-07-28;3041091339942;2021-03-31 09:02:44+00;R14 sucré bebe
2022-07-31;3041091339645;2021-03-31 09:03:37+00;R14 sucré bebe
2022-06-30;3033710063123;2021-03-31 09:04:35+00;R14 sucré bebe
2022-05-19;3041091343239;2021-03-31 09:06:49+00;R14 sucré bebe
2022-06-30;3033710061747;2021-03-31 09:07:57+00;R14 sucré bebe
2022-06-30;7613035035270;2021-03-31 09:08:37+00;R14 sucré bebe
2022-06-30;7613035035249;2021-03-31 09:09:06+00;R14 sucré bebe
2022-06-17;3041091339973;2021-03-31 09:11:31+00;R14 sucré bebe
2022-07-27;3041091339911;2021-03-31 09:13:51+00;R14 sucré bebe
2022-05-31;3033710063130;2021-03-31 09:16:00+00;R14 sucré bebe
2022-07-31;7613035864528;2021-03-31 09:17:22+00;R14 sucré bebe
2021-12-09;3041091427649;2021-03-31 09:37:07+00;R14 sucré bebe
2022-01-07;3041091427670;2021-03-31 09:41:21+00;R14 sucré bebe
2022-01-05;3041091427618;2021-03-31 09:45:23+00;R14 sucré bebe
2022-02-28;7613034129475;2021-04-01 10:22:50.323+00;R14 sucré bebe
2022-03-31;8000300377026;2021-04-01 10:23:44.674+00;R14 sucré bebe
2022-02-01;3041090021138;2021-04-01 10:26:20.996+00;R14 sucré bebe
2022-09-16;3041090010866;2021-04-01 10:28:10.408+00;R14 sucré bebe
2021-11-30;7613031552375;2021-04-01 10:29:52.95+00;R14 sucré bebe
2022-02-09;3041090012440;2021-04-01 10:36:32.961+00;R14 sucré bebe
2022-05-25;3041090012457;2021-04-01 10:38:54.357+00;R14 sucré bebe
2022-06-08;3041090505836;2021-04-01 10:40:08.674+00;R14 sucré bebe
2022-07-30;3041090505942;2021-04-01 10:42:01.796+00;R14 sucré bebe
2022-05-18;3041090717451;2021-04-01 10:44:10.159+00;R14 sucré bebe
2022-01-31;7613031552221;2021-04-01 10:45:03.394+00;R14 sucré bebe
2021-11-30;7613031552436;2021-04-01 10:45:42.112+00;R14 sucré bebe
2021-11-30;7613031552160;2021-04-01 10:46:26.575+00;R14 sucré bebe
2022-07-28;3041090502972;2021-04-01 10:47:50.133+00;R14 sucré bebe
2021-11-23;5900852045547;2021-04-01 10:49:54.434+00;R14 sucré bebe
2021-11-30;7613031552252;2021-04-01 10:53:05.574+00;R14 sucré bebe
2021-11-27;3041091400444;2021-04-01 11:03:33.134+00;R14 sucré bebe
2021-11-30;7613031552344;2021-04-01 11:04:54.12+00;R14 sucré bebe
2021-11-11;7613031553310;2021-04-01 11:06:29.738+00;R14 sucré bebe
2021-11-30;7613031552498;2021-04-01 11:06:48.822+00;R14 sucré bebe
2021-11-18;5900852045578;2021-04-09 09:02:03.803+00;R14 sucré bebe
2021-12-15;3041090012716;2021-04-09 09:02:25.923+00;R14 sucré bebe
2021-12-31;7613035009271;2021-04-13 08:19:21.608+00;R14 sucré bebe
2021-11-30;7613035009240;2021-04-13 08:19:34.115+00;R14 sucré bebe
